KRAS/NRAS/HRAS	KRAS,NRAS,HRAS
RAS	KRAS,NRAS,HRAS
RAS-mutated	KRAS,NRAS,HRAS
MTAP-deletion	MTAP
MTAP-deleted	MTAP
NTRK1-3	NTRK1,NTRK2,NTRK3
NTRK1/2/3	NTRK1,NTRK2,NTRK3
NTRK 	NTRK1,NTRK2,NTRK3
BRCA1/2	BRCA1,BRCA2
BRCA	BRCA1,BRCA2
HER2/ERBB2	ERBB2
Ph+	ABL1
PH+	ABL1
PDGFRα 	PDGFRA
!PD-L1 	CD274
BAF250b	ARID1B
CD140a	PDGFRA
CD140b	PDGFRB
CT5.2a	SSX2
Cish1	SOCS1
Etohi2	DROSHA
HDM2	MDM2
Hup1	PAX7
INK4a	CDKN2A
Ini1	SMARCB1
Morf	KAT6B
Oct4	POU5F1
PKACa	PRKACA
PKC-mu	PRKD1
Pet-1	FEV
Phox2b	PHOX2B
Prp10	SF3B1
RecQ4	RECQL4
Rho12	RHOA
RhoA	RHOA
RhoH	RHOH
SNF2-BETA	SMARCA4
Smcb	SMC1A
Tif1a	TRIM24
Tre2	USP6
Trip230	TRIP11
Vti1a	VTI1A
Wip1	PPM1D
Zf9	KLF6
bHLHb31	HEY1
c-Cbl	CBL
c-Rel	REL
c-src	SRC
cIAP2	BIRC3
cybL	SDHC
hPot1	POT1
p14	SUB1
p14ARF	CDKN2A
p15	SUB1
p16	CDKN2A
p16INK4a	CDKN2A
p19	CDKN2A
p19Arf	CDKN2A
p21	CDKN1A
p250R	ARID1B
p53	TP53
rfg5	GOLGA5
ttv	EXT1
NF-1	NF1
NF-2	NF2
