# MANE Select GRCh38 v1.5: every gene, symbol and HGNC id.
# source MANE.GRCh38.v1.5.summary.txt.gz sha256 d10ace2720681a3b2e0eefd9da4f551274a6b4141ac9bfd6a2565dfb6e9ad55c
symbol	hgnc_id
A1BG	HGNC:5
A1CF	HGNC:24086
A2M	HGNC:7
A2ML1	HGNC:23336
A3GALT2	HGNC:30005
A4GALT	HGNC:18149
A4GNT	HGNC:17968
AAAS	HGNC:13666
AACS	HGNC:21298
AADAC	HGNC:17
AADACL2	HGNC:24427
AADACL3	HGNC:32037
AADACL4	HGNC:32038
AADAT	HGNC:17929
AAGAB	HGNC:25662
AAK1	HGNC:19679
AAMDC	HGNC:30205
AAMP	HGNC:18
AANAT	HGNC:19
AAR2	HGNC:15886
AARD	HGNC:33842
AARS1	HGNC:20
AARS2	HGNC:21022
AARSD1	HGNC:28417
AASDH	HGNC:23993
AASDHPPT	HGNC:14235
AASS	HGNC:17366
AATF	HGNC:19235
AATK	HGNC:21
ABAT	HGNC:23
ABCA1	HGNC:29
ABCA10	HGNC:30
ABCA12	HGNC:14637
ABCA13	HGNC:14638
ABCA2	HGNC:32
ABCA3	HGNC:33
ABCA4	HGNC:34
ABCA5	HGNC:35
ABCA6	HGNC:36
ABCA7	HGNC:37
ABCA8	HGNC:38
ABCA9	HGNC:39
ABCB1	HGNC:40
ABCB10	HGNC:41
ABCB11	HGNC:42
ABCB4	HGNC:45
ABCB5	HGNC:46
ABCB6	HGNC:47
ABCB7	HGNC:48
ABCB8	HGNC:49
ABCB9	HGNC:50
ABCC1	HGNC:51
ABCC10	HGNC:52
ABCC11	HGNC:14639
ABCC12	HGNC:14640
ABCC2	HGNC:53
ABCC3	HGNC:54
ABCC4	HGNC:55
ABCC5	HGNC:56
ABCC6	HGNC:57
ABCC8	HGNC:59
ABCC9	HGNC:60
ABCD1	HGNC:61
ABCD2	HGNC:66
ABCD3	HGNC:67
ABCD4	HGNC:68
ABCE1	HGNC:69
ABCF1	HGNC:70
ABCF2	HGNC:71
ABCF3	HGNC:72
ABCG1	HGNC:73
ABCG2	HGNC:74
ABCG4	HGNC:13884
ABCG5	HGNC:13886
ABCG8	HGNC:13887
ABHD1	HGNC:17553
ABHD10	HGNC:25656
ABHD11	HGNC:16407
ABHD12	HGNC:15868
ABHD12B	HGNC:19837
ABHD13	HGNC:20293
ABHD14A	HGNC:24538
ABHD14B	HGNC:28235
ABHD15	HGNC:26971
ABHD16A	HGNC:13921
ABHD16B	HGNC:16128
ABHD17A	HGNC:28756
ABHD17B	HGNC:24278
ABHD17C	HGNC:26925
ABHD18	HGNC:26111
ABHD2	HGNC:18717
ABHD3	HGNC:18718
ABHD4	HGNC:20154
ABHD5	HGNC:21396
ABHD6	HGNC:21398
ABHD8	HGNC:23759
ABI1	HGNC:11320
ABI2	HGNC:24011
ABI3	HGNC:29859
ABI3BP	HGNC:17265
ABITRAM	HGNC:1364
ABL1	HGNC:76
ABL2	HGNC:77
ABLIM1	HGNC:78
ABLIM2	HGNC:19195
ABLIM3	HGNC:29132
ABO	HGNC:79
ABR	HGNC:81
ABRA	HGNC:30655
ABRACL	HGNC:21230
ABRAXAS1	HGNC:25829
ABRAXAS2	HGNC:28975
ABT1	HGNC:17369
ABTB1	HGNC:18275
ABTB2	HGNC:23842
ABTB3	HGNC:23844
ACAA1	HGNC:82
ACAA2	HGNC:83
ACACA	HGNC:84
ACACB	HGNC:85
ACAD10	HGNC:21597
ACAD11	HGNC:30211
ACAD8	HGNC:87
ACAD9	HGNC:21497
ACADL	HGNC:88
ACADM	HGNC:89
ACADS	HGNC:90
ACADSB	HGNC:91
ACADVL	HGNC:92
ACAN	HGNC:319
ACAP1	HGNC:16467
ACAP2	HGNC:16469
ACAP3	HGNC:16754
ACAT1	HGNC:93
ACAT2	HGNC:94
ACBD3	HGNC:15453
ACBD4	HGNC:23337
ACBD5	HGNC:23338
ACBD6	HGNC:23339
ACBD7	HGNC:17715
ACCS	HGNC:23989
ACCSL	HGNC:34391
ACD	HGNC:25070
ACE	HGNC:2707
ACE2	HGNC:13557
ACER1	HGNC:18356
ACER2	HGNC:23675
ACER3	HGNC:16066
ACHE	HGNC:108
ACIN1	HGNC:17066
ACKR1	HGNC:4035
ACKR2	HGNC:1565
ACKR3	HGNC:23692
ACKR4	HGNC:1611
ACKR5	HGNC:13708
ACLY	HGNC:115
ACMSD	HGNC:19288
ACO1	HGNC:117
ACO2	HGNC:118
ACOD1	HGNC:33904
ACOT1	HGNC:33128
ACOT11	HGNC:18156
ACOT12	HGNC:24436
ACOT13	HGNC:20999
ACOT2	HGNC:18431
ACOT4	HGNC:19748
ACOT6	HGNC:33159
ACOT7	HGNC:24157
ACOT8	HGNC:15919
ACOT9	HGNC:17152
ACOX1	HGNC:119
ACOX2	HGNC:120
ACOX3	HGNC:121
ACOXL	HGNC:25621
ACP1	HGNC:122
ACP2	HGNC:123
ACP3	HGNC:125
ACP4	HGNC:14376
ACP5	HGNC:124
ACP6	HGNC:29609
ACP7	HGNC:33781
ACR	HGNC:126
ACRBP	HGNC:17195
ACRV1	HGNC:127
ACSBG1	HGNC:29567
ACSBG2	HGNC:24174
ACSF2	HGNC:26101
ACSF3	HGNC:27288
ACSL1	HGNC:3569
ACSL3	HGNC:3570
ACSL4	HGNC:3571
ACSL5	HGNC:16526
ACSL6	HGNC:16496
ACSM1	HGNC:18049
ACSM2A	HGNC:32017
ACSM2B	HGNC:30931
ACSM3	HGNC:10522
ACSM4	HGNC:32016
ACSM5	HGNC:26060
ACSM6	HGNC:31665
ACSS1	HGNC:16091
ACSS2	HGNC:15814
ACSS3	HGNC:24723
ACTA1	HGNC:129
ACTA2	HGNC:130
ACTB	HGNC:132
ACTBL2	HGNC:17780
ACTC1	HGNC:143
ACTG1	HGNC:144
ACTG2	HGNC:145
ACTL10	HGNC:16127
ACTL6A	HGNC:24124
ACTL6B	HGNC:160
ACTL7A	HGNC:161
ACTL7B	HGNC:162
ACTL8	HGNC:24018
ACTL9	HGNC:28494
ACTMAP	HGNC:24758
ACTN1	HGNC:163
ACTN2	HGNC:164
ACTN3	HGNC:165
ACTN4	HGNC:166
ACTR10	HGNC:17372
ACTR1A	HGNC:167
ACTR1B	HGNC:168
ACTR2	HGNC:169
ACTR3	HGNC:170
ACTR3B	HGNC:17256
ACTR3C	HGNC:37282
ACTR5	HGNC:14671
ACTR6	HGNC:24025
ACTR8	HGNC:14672
ACTRT1	HGNC:24027
ACTRT2	HGNC:24026
ACTRT3	HGNC:24022
ACVR1	HGNC:171
ACVR1B	HGNC:172
ACVR1C	HGNC:18123
ACVR2A	HGNC:173
ACVR2B	HGNC:174
ACVRL1	HGNC:175
ACY1	HGNC:177
ACY3	HGNC:24104
ACYP1	HGNC:179
ACYP2	HGNC:180
ADA	HGNC:186
ADA2	HGNC:1839
ADAD1	HGNC:30713
ADAD2	HGNC:30714
ADAM10	HGNC:188
