alias	candidate_symbols	reason
10q23del	BMPR1A,PTEN	claimed by multiple genes
ACTL6	ACTL6A,ACTL6B	claimed by multiple genes
ADPRTL2	PARP2,PARP3	claimed by multiple genes
ADPRTL3	PARP2,PARP3	claimed by multiple genes
AIS	AR,TP63	claimed by multiple genes
ALK1	ACVRL1,ALK	claimed by multiple genes
AML1-EVI-1	MECOM,RUNX1	claimed by multiple genes
AP-1	FOSB,JUN	claimed by multiple genes
ASPS	ASPSCR1,CSNK1D	claimed by multiple genes
BAF190	SMARCA2,SMARCA4	claimed by multiple genes
CAK	CDK7,DDR1	claimed by multiple genes
CDK4I	CDKN2A,CDKN2B	claimed by multiple genes
CDKN2	CDK2,CDKN2A	claimed by multiple genes
CHN	CHN1,NR4A3	claimed by multiple genes
EPR-1	BIRC5,ELF3	claimed by multiple genes
EWSR2	ETS1,FLI1	claimed by multiple genes
FA1	DLK1,FANCA	claimed by multiple genes
FACD	BRCA2,FANCD2	claimed by multiple genes
FAD	BRCA2,FANCD2,PSEN1	claimed by multiple genes
FANCD	BRCA2,FANCD2	claimed by multiple genes
FBP	FOLR1,FUBP1	claimed by multiple genes
FOP	ACVR1,CEP43	claimed by multiple genes
GF1	GATA1,SOS1	claimed by multiple genes
H2-ALPHA	TUBA3D,TUBA4A	claimed by multiple genes
H3.1	H3C3,H3C6	claimed by multiple genes
HD7	HDAC7,HDAC9	claimed by multiple genes
HDMX	MDM2,MDM4	claimed by multiple genes
HNPCC	MLH1,MSH2	claimed by multiple genes
HOX1	HOXA11,HOXA13,HOXA9	claimed by multiple genes
IDH	IDH1,IDH2	claimed by multiple genes
IDP	IDH1,IDH2	claimed by multiple genes
LAM	TSC1,TSC2	claimed by multiple genes
LAP	PICALM,TGFB1	claimed by multiple genes
LGS	BCL9,EXT1	claimed by multiple genes
MB1	CD79A,PSMB5	claimed by multiple genes
MCAP	BRD4,PIK3CA	claimed by multiple genes
MDS	ASXL1,SF3B1,TET2,YWHAE	claimed by multiple genes
MLL2	KMT2B,KMT2D	claimed by multiple genes
MLL4	KMT2B,KMT2D	claimed by multiple genes
MPPH	AKT3,PIK3R2	claimed by multiple genes
MYM	ZMYM2,ZMYM3	claimed by multiple genes
NRF2	GABPA,NFE2L2	claimed by multiple genes
OF	BRIP1,SPI1	claimed by multiple genes
P1	PMEL,PRF1	claimed by multiple genes
P54	DDX6,NONO	claimed by multiple genes
PARPL	PARP4,TNKS	claimed by multiple genes
PI3K	PIK3CA,PIK3CB,PIK3CD,PIK3CG	claimed by multiple genes
PRAAS3	PSMB4,PSMB9	claimed by multiple genes
PRKAR1	PRKAR1A,PRKAR1B	claimed by multiple genes
PRKAR2	PRKAR2A,PRKAR2B	claimed by multiple genes
PSA	KLK3,PLAG1	claimed by multiple genes
PSC5	PSMA5,PSMB1	claimed by multiple genes
PTC	CCDC6,PTCH1,RET	claimed by multiple genes
PTC1	CCDC6,PTCH1	claimed by multiple genes
PUM	MUC1,MYOD1	claimed by multiple genes
R51H3	RAD51C,RAD51D	claimed by multiple genes
RCCP2	MET,TFE3	claimed by multiple genes
RECQL2	BLM,WRN	claimed by multiple genes
RECQL3	BLM,WRN	claimed by multiple genes
RPD3	HDAC1,HDAC2,HDAC3,HDAC8	claimed by multiple genes
RPT5	PSMC3,PSMC6	claimed by multiple genes
Rsc6p	SMARCD1,SMARCD2,SMARCD3	claimed by multiple genes
Rsc8	SMARCC1,SMARCC2	claimed by multiple genes
S7	MS4A1,PSMC2,RPS7	claimed by multiple genes
SDH1	SDHA,SDHB	claimed by multiple genes
SDH2	SDHA,SDHB	claimed by multiple genes
SNF2	SMARCA2,SMARCA4	claimed by multiple genes
SRC1	NCOA1,SRC	claimed by multiple genes
SRC2	FGR,NCOA2	claimed by multiple genes
STAT5	STAT5A,STAT5B	claimed by multiple genes
STK1	CDK7,FLT3	claimed by multiple genes
SWI2	SMARCA2,SMARCA4	claimed by multiple genes
SWS	GNAQ,LIFR	claimed by multiple genes
SYT	SS18,SYT1	claimed by multiple genes
TEF3	TEAD4,TRIM37	claimed by multiple genes
TFIIH	ERCC2,ERCC3	claimed by multiple genes
TR	TERC,TFRC	claimed by multiple genes
TRAC1	NCOR1,NCOR2	claimed by multiple genes
TRK	NTRK1,TPM3	claimed by multiple genes
TUBA2	TUBA3C,TUBA3D	claimed by multiple genes
TUBB2	TUBB2A,TUBB4B	claimed by multiple genes
TUBB4	TUBB3,TUBB4A	claimed by multiple genes
WBS	CDKN1C,ELN	claimed by multiple genes
p150	ABL1,CTR9	claimed by multiple genes
p38	MAPK1,MAPK14	claimed by multiple genes
p40	MAPK1,TP63	claimed by multiple genes
p52	NFKB2,PSIP1	claimed by multiple genes
p55	ERG,PSMD12	claimed by multiple genes
p75	PSIP1,TCF3	claimed by multiple genes
p85	PIK3R1,PIK3R2	claimed by multiple genes
