'C-K-RAS	KRAS
1110035O14Rik	NAMPT
12CC4	FOXP1
14-3-3E	YWHAE
16E1BP	TRIP13
2A-DUB	MYSM1
2ADUB	MYSM1
4Ig-B7-H3	CD276
5'-NT	ACP3
6530402N02Rik	APH1A
6A3-5	ARID1B
7B2	SCG5
A-116A10.1	NAE1
A-388D4.1	SNX29
A-MYB	MYBL1
A-RAF	ARAF
A12.2	POLR1H
A135	POLR1B
A190	POLR1A
A20	TNFAIP3
A2ML1	A2ML1
A43	POLR1F
A49	POLR1E
AA	TEAD1
AAD10	KMT2D
AAF-132	CTC1
AAF132	CTC1
AAG6	PRKCA
AAT3	TGFBR2
AAT4	MYH11
AAT5	TGFBR1
ABC10	ABCA4
ABC16	ABCB11
ABC42	ABCD1
ABCA4	ABCA4
ABCB11	ABCB11
ABCD1	ABCD1
ABCR	ABCA4
ABD-B	HOXA9
ABI-1	ABI1
ABI1	ABI1
ABL	ABL1
ABL1	ABL1
ABL2	ABL2
ABLBP4	ABI1
ABLL	ABL2
ABP-280	FLNA
ABPX	FLNA
ABRA1	ABRAXAS1
ABRAXAS1	ABRAXAS1
ABS	DDX41
AC19	POLR1D
AC40	POLR1C
ACC-1	BCL2A1
ACC-2	BCL2A1
ACC1	BCL2A1
ACC2	BCL2A1
ACD	ACD
ACG1A	TRIP11
ACH	FGFR3
ACKR3	ACKR3
ACN	NF2
ACNINV2	PSENEN
ACNINV3	PSEN1
ACP-3	ACP3
ACP3	ACP3
ACPP	ACP3
ACRDYS1	PRKAR1A
ACS2	ACSL6
ACS3	ACSL3
ACSL3	ACSL3
ACSL6	ACSL6
ACT35	TNFRSF4
ACTFS	MDM2
ACTL6A	ACTL6A
ACTL6B	ACTL6B
ACTRI	ACVR1
ACTRII	ACVR2A
ACVR1	ACVR1
ACVR1A	ACVR1
ACVR2	ACVR2A
ACVR2A	ACVR2A
ACVRL1	ACVRL1
ACVRLK1	ACVRL1
ACVRLK2	ACVR1
ACVRLK3	BMPR1A
ACVRLK4	TGFBR1
AD3	PSEN1
AD3L	PSEN2
AD4	PSEN2
AD4BP	NR5A1
ADCADN	DNMT1
ADCL1	ELN
ADIR2	NUP98
ADMCKD	MUC1
ADMCKD1	MUC1
ADMIO	STAT3
ADMIO1	STAT3
ADMIO3	CBLB
ADMIO4	PDCD1
ADMIO5	CD274
ADOHR	PRKAR1A
ADPRC 1	CD38
ADPRC1	CD38
ADPRT	PARP1
ADPRT 1	PARP1
ADPRT1	PARP1
ADPRT2	PARP2
ADPRT3	PARP3
ADPRTL1	PARP4
ADRM1	ADRM1
ADTKD2	MUC1
AF	PSMD4
AF-1	PSMD4
AF-1P	EPS15
AF10	MLLT10
AF15Q14	KNL1
AF17	MLLT6
AF17q25	SEPTIN9
AF1P	EPS15
AF1Q	MLLT11
AF3P21	NCKIPSD
AF4	AFF1
AF5Q31	AFF4
AF6	AFDN
AF6q21	FOXO3
AF9	MLLT3
AFDCIN	POLR1A
AFDN	AFDN
AFF1	AFF1
AFF3	AFF3
AFF4	AFF4
AFGF	FGF1
AFX	FOXO4
AFX1	FOXO4
AGM10	SPI1
AGM6	CD79B
AGM7	PIK3R1
AGM8	TCF3
AGM8A	TCF3
AGM8B	TCF3
AGMX1	BTK
AGO	FBXW7
AGOTC	PRRX1
AGS2	NOTCH2
AHO	GNAS
AHO3	HDAC4
AICAR	ATIC
AICARFT	ATIC
AIE2	AURKC
AIF3BL3	RELA
AIFBL1	TNFAIP3
AIFBL2	ELF4
AIIDE	JAK1
AIK	AURKA
AIK2	AURKB
AIK3	AURKC
AIM	DNMT1
AIM-1	AURKB
AIM1	AURKB
AIMAH1	GNAS
AIMAH3	KDM1A
AIMTBS	PDCD1
AIP	AIP
AIP1	BIRC3
AIPCV	HCK
AISBL	TNFAIP3
AISIMD	SOCS1
AKAP-9	AKAP9
AKAP350	AKAP9
AKAP450	AKAP9
AKAP9	AKAP9
AKR1C3	AKR1C3
AKT	AKT1
AKT1	AKT1
AKT1S1	AKT1S1
AKT2	AKT2
AKT3	AKT3
ALD	ABCD1
ALDD	PSMB8
ALDH-E2	ALDH2
ALDH2	ALDH2
ALDHI	ALDH2
ALDM	ALDH2
ALDP	ABCD1
ALK	ALK
ALK-1	ACVRL1
ALK-3	BMPR1A
ALK-5	TGFBR1
ALK-6	BMPR1B
ALK2	ACVR1
ALK3	BMPR1A
ALK5	TGFBR1
ALK6	BMPR1B
ALL	BCR
ALL-1	KMT2A
ALL1	KMT2A
ALL3	PAX5
ALO17	RNF213
ALPS1A	FAS
ALPS1B	FASLG
ALPS2	CASP10
ALPS2B	CASP8
ALPS3	PRKCD
ALPS4	NRAS
ALPS5	CTLA4
ALR	KMT2D
ALS19	ERBB4
ALS22	TUBA4A
ALS6	FUS
AMD3	BMPR1B
AMDD	BMPR1B
AMER1	AMER1
AML1	RUNX1
AMLCR1	RUNX1
AMN	ABCD1
AMYB	MYBL1
AMYLD6	B2M
ANKRD26	ANKRD26
ANOP2	BCOR
ANOP3	SOX2
AOF2	KDM1A
AOS5	NOTCH1
AOS6	DLL4
AOVD1	NOTCH1
AP1	JUN
AP3Aase	FHIT
APC	APC
APDS	PIK3CD
APH-1	APH1A
APH-1A	APH1A
APH-1B	APH1B
APH1A	APH1A
APH1B	APH1B
API1	BIRC2
API2	BIRC3
API3	XIAP
API4	BIRC5
APO-1	FAS
APO2L	TNFSF10
APOLLON	BIRC6
APPBP1	NAE1
APRF	STAT3
APRO2	BTG1
APS	KLK3
APT1	FAS
APT1LG1	FASLG
APTL	FASLG
APXL	SHROOM2
AR	AR
AR8	AR
ARA267	NSD1
ARA70	NCOA4
ARA9	AIP
ARAF	ARAF
ARAF1	ARAF
ARC240	MED12
ARCC2	EPHA2
ARF	CDKN2A
ARG	ABL2
ARH12	RHOA
ARHA	RHOA
ARHGAP14	SRGAP3
ARHGAP2	CHN1
ARHGAP26	ARHGAP26
ARHGEF12	ARHGEF12
ARHGEF32	ECT2L
ARHH	RHOH
ARIA	NRG1
ARID1A	ARID1A
ARID1B	ARID1B
ARID2	ARID2
ARID5B	ARID5B
ARK	AXL
ARK-2	AURKB
ARK1	AURKA
ARK2	AURKB
ARK3	AURKC
ARM-1	ADRM1
ARM1	ADRM1
ARMD2	ABCA4
ARNT	ARNT
ARNT1	ARNT
ARPN-BETA	ACTL6A
ARTD1	PARP1
ARTD10	PARP10
ARTD11	PARP11
ARTD12	PARP12
ARTD13	ZC3HAV1
ARTD14	TIPARP
ARTD15	PARP16
ARTD16	PARP8
ARTD17	PARP6
ARTD2	PARP2
ARTD3	PARP3
ARTD4	PARP4
ARTD5	TNKS
ARTD6	TNKS2
ARTD7	PARP15
ARTD8	PARP14
ARTD9	PARP9
ARTHS	KAT6A
ARTS	PRPS1
ARVD	TGFB3
ARVD1	TGFB3
ASCL1	ASCL1
ASE-1	POLR1G
ASE1	POLR1G
ASF	PSMD4
ASH	GRB2
ASH1	ASCL1
ASNS	ASNS
ASNSD	ASNS
ASPCR1	ASPSCR1
ASPL	ASPSCR1
ASPSCR1	ASPSCR1
ASV	SRC
ASXH2	ASXL2
ASXL1	ASXL1
ASXL2	ASXL2
AT	BTK
AT-V1	NBN
AT-V2	NBN
AT1	ATM
ATA	ATM
ATAG1874	NCSTN
ATAR	TNFRSF14
ATC	ATM
ATD	ATM
ATDC	ATM
ATE	ATM
ATIC	ATIC
ATK	BTK
ATL1	BCL11B
ATL1-alpha	BCL11B
ATL1-beta	BCL11B
ATL1-delta	BCL11B
ATL1-gamma	BCL11B
ATLD	MRE11
ATM	ATM
ATR	ATR
ATRX	ATRX
ATV	NBN
ATXPC	SAMD9L
AURA	AURKA
AURKA	AURKA
AURKB	AURKB
AURKC	AURKC
AUTS5	TBR1
AUTS9	MET
AVO3	RICTOR
AWT1	WT1
AXIL	AXIN2
AXIN2	AXIN2
AXL	AXL
AXL3	AXL
AYGRP	MAF
AltDDIT3	DDIT3
Apo-2L	TNFSF10
Arc-1	CDH1
Arp4	ACTL6A
AurB	AURKB
AurC	AURKC
B(p51A)	TP63
B(p51B)	TP63
B-ALPHA-1	TUBA1A
B-RAF1	BRAF
B-raf	BRAF
B1	MS4A1
B120	ARID1A
B23	NPM1
B29	CD79B
B2M	B2M
B4	CD19
B7-H	CD274
B7-H3	CD276
B7DC	PDCD1LG2
B7H1	CD274
B7H3	CD276
B7RP-2	CD276
BABL	HMGA2
BABS	ODC1
BACH1	BRIP1
BAF155	SMARCC1
BAF170	SMARCC2
BAF180	PBRM1
BAF190A	SMARCA4
BAF200	ARID2
BAF250	ARID1A
BAF250B	ARID1B
BAF250a	ARID1A
BAF47	SMARCB1
BAF53A	ACTL6A
BAF53B	ACTL6B
BAF57	SMARCE1
BAF60A	SMARCD1
BAF60B	SMARCD2
BAF60C	SMARCD3
BAGOS	SYT1
BAIDCS	ZIC1
BAK	BAK1
BAK-LIKE	BAK1
BAK1	BAK1
BAL	PARP9
BAL1	PARP9
BAL2	PARP14
BAL3	PARP15
BANDDOS	CSF1R
BANF	NF2
BAP1	BAP1
BARD1	BARD1
BAX	BAX
BBDS	FGFR2
BBDS2	LAMA5
BBF2H7	CREB3L2
BCAHH	KMT2D
BCC7	TP53
BCD1	KLF6
BCDS1	CDH1
BCH	NKX2-1
BCL-XL/S	BCL2L1
BCL1	CCND1
BCL10	BCL10
BCL11A	BCL11A
BCL11B	BCL11B
BCL2	BCL2
BCL2A1	BCL2A1
BCL2L	BCL2L1
BCL2L1	BCL2L1
BCL2L3	MCL1
BCL2L4	BAX
BCL2L5	BCL2A1
BCL2L7	BAK1
BCL3	BCL3
BCL4	BCL3
BCL5	BCL6
BCL6	BCL6
BCL6A	BCL6
BCL7	BCL7A
BCL7A	BCL7A
BCL9	BCL9
BCLAF2	THRAP3
BCLX	BCL2L1
BCM	TNFRSF17
BCMA	TNFRSF17
BCNS	PTCH1
BCNS1	PTCH1
BCNS2	SUFU
BCOR	BCOR
BCORL1	BCORL1
BCR	BCR
BCR-ABL	ABL1
BCR1	BCR
BCoR-L1	BCORL1
BDA1D	BMPR1B
BDA2	BMPR1B
BDB	ROR2
BDB1	ROR2
BDE	HOXD13
BDMR	HDAC4
BDPLT17	GFI1B
BDPLT19	PRKACG
BDPLT21	FLI1
BDPLT25	TPM4
BDPLT6	MYH9
BDSD	HOXD13
BEK	FGFR2
BENTA	CARD11
BFGF	FGF2
BFGFR	FGFR1
BFL1	BCL2A1
BFLS	PHF6
BFR-1	FGFR2
BHC	NKX2-1
BHC110	KDM1A
BHD	FLCN
BHD2	PRDM10
BHLHB1	OLIG2
BHLHb31	HEY1
BIG-3	WDR5
BIG3	WDR5
BIMP3	CARD11
BING2	DAXX
BIRC1	NAIP
BIRC2	BIRC2
BIRC3	BIRC3
BIRC4	XIAP
BIRC5	BIRC5
BIRC6	BIRC6
BIRC7	BIRC7
BIRC8	BIRC8
BIS	SMARCA2
BKLHD4	KBTBD4
BLAP18	RMI2
BLIMP-1	PRDM1
BLIMP1	PRDM1
BLK	BLK
BLM	BLM
BM-010	EIF4A2
BM029	ARID1A
BMFS4	MYSM1
BMFS5	TP53
BMFS6	MDM4
BMP2B	BMP4
BMP2B1	BMP4
BMP4	BMP4
BMPR-1A	BMPR1A
BMPR1A	BMPR1A
BMPR1B	BMPR1B
BOB1	POU2AF1
BOPS	ASXL1
BORJ	PHF6
BOS3	SIX1
BOV-1A	RBM8A
BOV-1B	RBM8A
BOV-1C	RBM8A
BPES	FOXL2
BPES1	FOXL2
BPK	BTK
BPTP3	PTPN11
BRAF	BRAF
BRAF-1	BRAF
BRAF1	BRAF
BRAM1	ZMYND11
BRCA1	BRCA1
BRCA2	BRCA2
BRCAI	BRCA1
BRCC1	BRCA1
BRCC2	BRCA2
BRCC5	RAD51
BRD1	BRD1
BRD2	BRD2
BRD2-IT1	BRD2
BRD3	BRD3
BRD4	BRD4
BRD6	BRDT
BRDT	BRDT
BRG1	SMARCA4
BRIC2	ABCB11
BRIGHT	ARID1B
BRIP1	BRIP1
BRL	BRD1
BRM	SMARCA2
BROVCA1	BRCA1
BROVCA2	BRCA2
BROVCA3	RAD51C
BROVCA4	RAD51D
BROVCA5	PALB2
BRPF2	BRD1
BRPK	PINK1
BRSS	CYLD
BRUCE	BIRC6
BRYLIB1	H3-3A
BRYLIB2	H3-3B
BS	BLM
BS69	ZMYND11
BSAC	MRTFA
BSAP	PAX5
BSEP	ABCB11
BSF-2	IL6
BSF2	IL6
BTAK	AURKA
BTBD29	LZTR1
BTF2	ERCC3
BTG1	BTG1
BTK	BTK
BTL	CHIC2
BTLA	BTLA
BTLA1	BTLA
BTPS2	APC
BUB1B	BUB1B
BUB1beta	BUB1B
BUBR1	BUB1B
BWCR	CDKN1C
BWS	CDKN1C
BXMAS1	FCRL5
BYK	TYRO3
BZS	PTEN
Bcl-2	BCL2
Bcl-X	BCL2L1
Ber-Ep4	EPCAM
BerEp4	EPCAM
Beta2	TUBB4B
Blm10	PSME4
Bp35	MS4A1
Bp50	CD40
Btdc	PDCD1LG2
Bub1A	BUB1B
C-2k	CDK9
C-BAS/HAS	HRAS
C-CBL	CBL
C-FMS	CSF1R
C-H-RAS	HRAS
C-HA-RAS1	HRAS
C-K-RAS	KRAS
C-Kit	KIT
C-MPL	MPL
C-Rel	REL
C/EBP-alpha	CEBPA
C/EBPzeta	DDIT3
C11orf79	SDHAF2
C11orf93	POU2AF3
C12orf6	PARP11
C14orf18	CCNB1IP1
C14orf31	FRMD6
C15DUPq	GREM1
C15orf30	PARP16
C15orf55	NUTM1
C16DELp11.2	CREB3L1
C16DELp13.2	USP7
C16orf57	USB1
C16orf75	RMI2
C17orf27	RNF213
C17orf68	CTC1
C19orf17	ELL
C1DELq21.1	RBM8A
C1orf12	EGLN1
C1orf28	CDC73
C1orf4	ARID1A
C20orf41	RTEL1
C20orf45	GNAS
C22orf12	DGCR8
C2TA	CIITA
C2orf2	EML4
C2orf44	WDCP
C2orf6	MOB1A
C6	PSMA7
C6orf91	ECT2L
C7	CXCL10
C7DELq	SAMD9L
C7orf5	SAMD9
C7orf6	SAMD9L
C7orf76	SEM1
CA 15-3	MUC1
CAD11	CDH11
CADASIL	NOTCH3
CADASIL1	NOTCH3
CAEND1	TGFB1
CAEND2	TGFB2
CAFD1	PRKACA
CAFD2	PRKACB
CAFYD	COL1A1
CAGH1	ZNF384
CAGH1A	ZNF384
CAGH45	MED12
CAGL114	KMT2D
CAI2	CDKN2A
CAIN	NUP214
CAK1	CDK7
CAKUHED	PBX1
CAL	GOPC
CALM	PICALM
CALR	CALR
CALR1	CALR
CAMT2	THPO
CAMTA1	CAMTA1
CAN	NUP214
CANPMR	CAMTA1
CANT1	CANT1
CAP	BRD4
CAP-Rf	DDX3X
CAP20	CDKN1A
CAP4	CASP8
CAP43	NDRG1
CAPM1	TPM3
CAR	PRKAR1A
CARASIL1	NOTCH3
CARD11	CARD11
CARMA1	CARD11
CARMEN	BCL10
CARS	CARS1
CARS1	CARS1
CASC13	POU2AF3
CASC5	KNL1
CASIL	NOTCH3
CASP10	CASP10
CASP8	CASP8
CAST	POLR1G
CBA1	KLF6
CBF2alpha	RUNX1
CBF5	DKC1
CBFA2	RUNX1
CBFA2T3	CBFA2T3
CBFB	CBFB
CBL	CBL
CBL-3	CBLC
CBL-SL	CBLC
CBL2	CBL
CBLB	CBLB
CBLC	CBLC
CBP	CREBBP
CBT1	SDHD
CC-CKR-5	CCR5
CCA4	MAF
CCCKR5	CCR5
CCDC6	CCDC6
CCDC98	ABRAXAS1
CCHS	PHOX2B
CCM4	PIK3CA
CCNB1IP1	CCNB1IP1
CCND1	CCND1
CCND2	CCND2
CCND3	CCND3
CCNE	CCNE1
CCNE1	CCNE1
CCR-5	CCR5
CCR5	CCR5
CD	CTLA4
CD110	MPL
CD114	CSF3R
CD115	CSF1R
CD116	CSF2RA
CD117	KIT
CD118	LIFR
CD123	IL3RA
CD126	IL6R
CD127	IL7R
CD130	IL6ST
CD134	TNFRSF4
CD134L	TNFSF4
CD135	FLT3
CD136	MST1R
CD140A	PDGFRA
CD140B	PDGFRB
CD142	F3
CD152	CTLA4
CD167	DDR1
CD178	FASLG
CD184	CXCR4
CD19	CD19
CD195	CCR5
CD20	MS4A1
CD202B	TEK
CD213A2	IL13RA2
CD22	CD22
CD220	INSR
CD221	IGF1R
CD222	IGF2R
CD223	LAG3
CD227	MUC1
CD246	ALK
CD252	TNFSF4
CD253	TNFSF10
CD269	TNFRSF17
CD27	CD27
CD27-L	CD70
CD270	TNFRSF14
CD272	BTLA
CD273	PDCD1LG2
CD274	CD274
CD276	CD276
CD279	PDCD1
CD27L	CD70
CD27LG	CD70
CD292	BMPR1A
CD30	TNFRSF8
CD307	FCRL5
CD307d	FCRL4
CD307e	FCRL5
CD309	KDR
CD32	FCGR2B
CD324	CDH1
CD32B	FCGR2B
CD33	CD33
CD331	FGFR1
CD332	FGFR2
CD333	FGFR3
CD334	FGFR4
CD33rSiglec	CD33
CD340	ERBB2
CD360	IL21R
CD366	HAVCR2
CD37	CD37
CD38	CD38
CD3EAP	POLR1G
CD40	CD40
CD47	CD47
CD52	CD52
CD56	NCAM1
CD58	CD58
CD7	CD7
CD70	CD70
CD71	TFRC
CD74	CD74
CD79A	CD79A
CD79B	CD79B
CD95	FAS
CD95-L	FASLG
CD95L	FASLG
CDA07	HDAC8
CDA1	TSPYL2
CDC2	POLD1
CDC25A	CDC25A
CDC25A2	CDC25A
CDC2L4	CDK9
CDC4	FBXW7
CDC7	CDC7
CDC73	CDC73
CDC7L1	CDC7
CDCBM	TUBB3
CDCBM1	TUBB3
CDCBM16	TUBA1A
CDCBM4	TUBG1
CDCBM5	TUBB2A
CDCBM6	TUBB
CDCBM7	TUBB2B
CDCBM8	TUBA8
CDCREL	SEPTIN5
CDCREL-1	SEPTIN5
CDCREL1	SEPTIN5
CDF	IL6
CDH1	CDH1
CDH11	CDH11
CDH25	DCHS1
CDH27	DCHS2
CDHE	CDH1
CDHF12	RET
CDHF14	FAT4
CDHF15	FAT3
CDHF7	FAT1
CDHF8	FAT2
CDHJ	DCHS2
CDHOB	CDH11
CDHR10	FAT3
CDHR11	FAT4
CDHR16	RET
CDHR6	DCHS1
CDHR7	DCHS2
CDHR8	FAT1
CDHR9	FAT2
CDHS	PAX3
CDK12	CDK12
CDK2	CDK2
CDK4	CDK4
CDK6	CDK6
CDK7	CDK7
CDK9	CDK9
CDKN1	CDKN1A
CDKN1A	CDKN1A
CDKN1B	CDKN1B
CDKN1C	CDKN1C
CDKN2A	CDKN2A
CDKN2B	CDKN2B
CDKN2C	CDKN2C
CDKN4	CDKN1B
CDKN7	CDK7
CDLS2	SMC1A
CDLS5	HDAC8
CDLS6	BRD4
CDMT	CYLD
CDN1	BAK1
CDS1	CHEK2
CDW127	IL7R
CDW130	IL6ST
CDW40	CD40
CDW52	CD52
CDX-3	CDX2
CDX2	CDX2
CDX2/AS	CDX2
CDX3	CDX2
CDw116	CSF2RA
CDw136	MST1R
CDw293	BMPR1B
CEBALID	MN1
CEBP	CEBPA
CEBPA	CEBPA
CEBPZ	DDIT3
CECBA	CAMTA1
CED	TGFB1
CEK	FGFR1
CEK2	FGFR3
CEK3	FGFR2
CELIAC3	CTLA4
CENP-31	PHF6
CEP1	CNTRL
CEP110	CNTRL
CEP43	CEP43
CEP57	CEP57
CEV14	TRIP11
CFAP108	CTCF
CFAP89	WDR5
CFC	PTPN11
CFC2	KRAS
CFC3	MAP2K1
CFC4	MAP2K2
CFD1	FGFR2
CFEOM3	TUBB3
CFEOM3A	TUBB3
CFEOM3A1	TUBB3
CFTD	TPM3
CG-NAP	AKAP9
CG1	KTN1
CGI-151	PALLD
CGI-78	APH1A
CGI-97	SBDS
CGI151	PALLD
CHC	CLTC
CHC17	CLTC
CHC22	CLTCL1
CHCHD7	CHCHD7
CHD-4	CHD4
CHD4	CHD4
CHD7	CHD7
CHDED	PRKD1
CHDSKM	ABL1
CHEK1	CHEK1
CHEK2	CHEK2
CHET9	SUZ12
CHF2	HEY1
CHH	RMRP
CHIC2	CHIC2
CHINE1	DKC1
CHINE2	NOP10
CHK1	CHEK1
CHK2	CHEK2
CHN1	CHN1
CHNG1	TSHR
CHOP	DDIT3
CHOP-10	DDIT3
CHOP10	DDIT3
CHOPS	AFF4
CHTD7	FLT4
CHYTS	ERF
CI-M6PR	IGF2R
CIAP2	BIRC3
CIC	CIC
CII-4	SDHD
CIITA	CIITA
CIITAIV	CIITA
CIMPR	IGF2R
CIMT1	PPARG
CINAP	TSPYL2
CIP1	CDKN1A
CIPER	BCL10
CIS1	SOCS1
CIS2	SOCS2
CISH1	SOCS1
CISS	CRLF1
CISS1	CRLF1
CIZ	ZNF384
CJS	GLI2
CK II beta	CSNK2B
CK1	CSNK1A1
CK1a	CSNK1A1
CK1g2	CSNK1G2
CK1gamma1	CSNK1G1
CK2A1	CSNK2A1
CK2A2	CSNK2A2
CK2B	CSNK2B
CK2N	CSNK2B
CK2alpha'	CSNK2A2
CKI-delta	CSNK1D
CKI-gamma 3	CSNK1G3
CKII	CSNK2A1
CKIa	CSNK1A1
CKId	CSNK1D
CKIdelta	CSNK1D
CKIe	CSNK1E
CKIepsilon	CSNK1E
CKR-5	CCR5
CKR5	CCR5
CKTSF1B1	GREM1
CLAP	BCL10
CLAPO	PIK3CA
CLCD2	CBFB
CLDN18	CLDN18
CLDN4	CLDN4
CLF	CRLF1
CLF-1	CRLF1
CLH-17	CLTC
CLH22	CLTCL1
CLIP	CD74
CLOVE	PIK3CA
CLP1	CLP1
CLTC	CLTC
CLTCL	CLTCL1
CLTCL1	CLTCL1
CLTCL2	CLTC
CLTD	CLTCL1
CLTH	PICALM
CM-AVM	RASA1
CMAL	GNAQ
CMAVM	RASA1
CMAVM1	RASA1
CMCU	RELA
CMD1GG	SDHA
CMD1LL	PRDM16
CMD1NN	RAF1
CMD1U	PSEN1
CMD1V	PSEN2
CMKBR5	CCR5
CMKOR1	ACKR3
CML	BCR
CMM10	POT1
CMM2	CDKN2A
CMM3	CDK4
CMM8	MITF
CMM9	TERT
CMNS	NRAS
CMT2A	MFN2
CMT2A2	MFN2
CMT2A2A	MFN2
CMT2A2B	MFN2
CMT2M	DNM2
CMT4D	NDRG1
CMTDI1	DNM2
CMTDIB	DNM2
CMTX5	PRPS1
CMYA2	PDE4DIP
CMYO17	MYOD1
CMYO19	PAX7
CMYO26	TUBA4A
CMYO4A	TPM3
CMYO4B	TPM3
CMYP17	MYOD1
CMYP19	PAX7
CMYP4A	TPM3
CMYP4B	TPM3
CNBP	CNBP
CNBP1	CNBP
CNC	PRKAR1A
CNC1	PRKAR1A
CNOT3	CNOT3
CNSA1	SH3GL1
CNSHA9	GATA1
CNTRL	CNTRL
COB1	YAP1
COCA1	MSH2
COCA2	MLH1
COE1	EBF1
COFS2	ERCC2
COFS3	ERCC5
COFS4	ERCC1
COGIS	EED
COL1A1	COL1A1
COLCA2	POU2AF3
COMMAD	MITF
CONDBA	UBTF
COPEB	KLF6
CORD3	ABCA4
COX23	CHCHD7
CP64	LCP1
CPAMD9	A2ML1
CPBHM	HDAC6
CPBP	KLF6
CPE-R	CLDN4
CPER	CLDN4
CPETR	CLDN4
CPETR1	CLDN4
CPHD6	OTX2
CPRF	KDM1A
CPRP1	MFN2
CRAC1	GREM1
CRACC1	SMARCC1
CRACC2	SMARCC2
CRACD1	SMARCD1
CRACD2	SMARCD2
CRACD3	SMARCD3
CRAF	RAF1
CRBN	CRBN
CRCS10	POLD1
CRCS12	POLE
CRCS3	SMAD7
CRCS4	GREM1
CREB	CREB1
CREB-1	CREB1
CREB1	CREB1
CREB3L1	CREB3L1
CREB3L2	CREB3L2
CREBBP	CREBBP
CREST	SS18L1
CRG	CHD7
CRJS	SMO
CRK7	CDK12
CRKL	CRKL
CRKR	CDK12
CRKRS	CDK12
CRL2	CRLF2
CRLF1	CRLF1
CRLF2	CRLF2
CRLF2Y	CRLF2
CRM-1	XPO1
CRM1	XPO1
CRMCC	CTC1
CRMCC3	POT1
CRS3	TCF12
CRS4	ERF
CRS6	ZIC1
CRT	CALR
CRTC1	CRTC1
CRTC3	CRTC3
CSBP	MAPK14
CSBP1	MAPK14
CSBP2	MAPK14
CSBS	FLNA
CSCSC1	TUBB
CSDD2	LIN28B
CSF	CSF2
CSF-1R	CSF1R
CSF1R	CSF1R
CSF2	CSF2
CSF2R	CSF2RA
CSF2RA	CSF2RA
CSF2RAX	CSF2RA
CSF2RAY	CSF2RA
CSF2RX	CSF2RA
CSF2RY	CSF2RA
CSF3R	CSF3R
CSFR	CSF1R
CSK2B	CSNK2B
CSMF	NR4A3
CSNK1A1	CSNK1A1
CSNK1D	CSNK1D
